,ndcg
solid,0.967903379
struggle,0.958523375
spreading,0.949612928
salt,0.942912643
random,0.93800985
widely,0.933064695
temperature,0.929329643
viable,0.928910003
vol,0.924029238
volt,0.924029238
voltage,0.924029238
volume,0.924029238
volumes,0.924029238
voluntary,0.924029238
volvo,0.924029238
tea,0.918925335
quick,0.91805825
utterly,0.916667026
satisfied,0.908746646
sexually,0.906307456
dick,0.90005215
mercy,0.899361411
unwilling,0.899287708
tigers,0.897790867
worship,0.897744023
watt,0.895455411
sinus,0.895422318
sir,0.895422318
morally,0.892495343
texture,0.890677784
uprising,0.884588706
sounds,0.883178549
scaling,0.880604973
smoke,0.880293143
tires,0.87922565
unregistered,0.875026814
logic,0.873213394
modifications,0.871388986
wondering,0.869086257
cs,0.866502431
povray,0.865638046
ring,0.865427447
truck,0.864708409
supposed,0.863913732
wine,0.86157487
wears,0.858723484
whether,0.8585794
resembling,0.857830273
wwii,0.856590162
detecting,0.85622418
tactic,0.854301164
pitches,0.85356383
zip,0.853260122
seemed,0.852782663
samples,0.852381083
strongest,0.851449671
reactor,0.849900267
regard,0.849701082
widgets,0.849427157
misc,0.849015592
denial,0.846268314
oxygen,0.845991931
logitech,0.84498366
wherever,0.844941283
vl,0.844566842
signature,0.842564013
operations,0.84199588
tune,0.841210799
sheer,0.841114255
wo,0.839321981
mixture,0.838212741
zionists,0.836714545
raise,0.835648561
curiosity,0.834524792
restriction,0.832876346
speeding,0.832393179
win31,0.832379625
muslim,0.832347635
specify,0.832332506
relates,0.831766182
thirdparty,0.831557064
stay,0.830483081
single,0.829221793
troy,0.828745941
technician,0.828709855
standalone,0.828390348
turning,0.827693949
testify,0.825973019
withdrawn,0.824800419
official,0.824212286
starting,0.824205534
postage,0.824110489
think,0.82269695
strain,0.821828564
vs,0.821780187
promotion,0.820114985
wade,0.819350826
versus,0.819015568
post,0.818761719
starters,0.818170279
temporarily,0.817910769
terminated,0.817910769
terminology,0.817910769
terrible,0.817910769
reproduction,0.817747033
knocking,0.817545588
whatsoever,0.817361878
traditions,0.814496519
brightness,0.814322929
hughes,0.813633206
publicity,0.813239688
period,0.813061624
quest,0.813039223
shooting,0.812678593
prayed,0.812347089
x11r5,0.812185568
meets,0.811398875
would,0.811234705
sl,0.810734573
ties,0.810564946
video,0.810143657
mets,0.809781555
ron,0.80801956
secular,0.807485138
outstanding,0.803168528
overall,0.803168528
lc,0.802710292
tel,0.80148713
probes,0.801392264
skill,0.800538632
strings,0.80052135
sustained,0.800002751
resistors,0.799829331
wiped,0.799678159
upgrading,0.799478284
roenick,0.798886929
trashed,0.79878646
objectivity,0.798195245
stopped,0.797789321
tastes,0.796385972
wa,0.796120309
lever,0.792693855
threaten,0.791982711
pin,0.791704646
crossed,0.791169586
replaces,0.790700485
pitcher,0.790663322
tended,0.790341111
exact,0.790280024
uucp,0.788355853
molecules,0.788147166
occurring,0.787068842
stein,0.783273313
interference,0.783110492
immediately,0.782234028
withdraw,0.781403455
varied,0.780719366
init,0.78053611
uv,0.77988547
experimentation,0.779272003
transformation,0.778534911
jc,0.778366273
wolves,0.778002088
yards,0.775648374
cocaine,0.7754272
researcher,0.775195048
rendered,0.774381601
provides,0.773460337
strongly,0.77283024
sci,0.772137782
skipjack,0.771014412
steam,0.770703451
segments,0.769454402
winnipeg,0.769368113
selling,0.768401501
spark,0.767315075
tragic,0.767308718
thru,0.767126922
fame,0.766017158
unsupported,0.765795318
yelling,0.765747189
stove,0.764915903
restricting,0.76351258
organs,0.763408064
paying,0.763173219
title,0.763005676
runner,0.760903519
skin,0.760740855
swing,0.760240484
protective,0.759765925
sciences,0.759634893
visual,0.759156186
xfactor,0.758893967
