,0
"temperature (discoveries, surveys)",0.971878991
"testify (ali, concentrated)",0.9664226020000001
"solid (company, sides)",0.962882942
"tea (tech, buck)",0.9571022659999999
"widely (recently, 1982)",0.9413661520000001
"denial (judaism, kurds)",0.940092775
"detecting (skeptical, signals)",0.9387396929999999
"dick (quoted, seen)",0.9361859579999999
"pitches (screw, headers)",0.935989266
"random (dropped, atheism)",0.9353537820000001
"salt (stations, alike)",0.932734873
"vol (contents, students)",0.930323505
"volt (disagreement, clouds)",0.930323505
"voltage (criteria, disclosed)",0.930323505
"volume (although, quickly)",0.930323505
"volumes (raster, josephus)",0.930323505
"voluntary (transmitted, satan)",0.930323505
"volvo (outlet, 302)",0.930323505
"curiosity (dram, unconditional)",0.929850365
"mercy (healing, punished)",0.9253236890000001
"logic (studying, cool)",0.9234105090000001
"tires (bed, cross)",0.923258155
"temporarily (drove, sends)",0.921807595
"terminated (wuarchivewustledu, shuttle)",0.921807595
"terminology (define, locally)",0.921807595
"terrible (due, 31)",0.921807595
"unwilling (14th, impressions)",0.920260008
"struggle (challenge, guidance)",0.9196626309999999
"wine (executables, precautions)",0.918359477
"rockies (marlins, failures)",0.917136521
"jc (sundays, 49)",0.9144698059999999
"starting (completely, setting)",0.914429877
"satisfied (television, window)",0.913229135
"transformation (lurking, sectors)",0.911127433
"shoulder (attribute, ended)",0.91031059
"tastes (tolerate, builtin)",0.9091727690000001
"worship (plans, manner)",0.9080749459999999
"varied (fidonet, maps)",0.906984848
"utterly (competent, formed)",0.9019786240000001
"vl (registers, porsche)",0.896703033
"operations (graphic, contend)",0.895442464
"publicity (wondered, 1970s)",0.894537757
"wears (phones, australian)",0.8945028740000001
"ring (proprietary, seeing)",0.893196194
"sheer (kid, proponents)",0.8929151409999999
"vs (justice, criticism)",0.8925316670000001
"cs (reasons, student)",0.892027693
"nutrition (genuinely, milk)",0.891887221
"unfortunate (intention, expecting)",0.889034784
"versus (preliminary, initial)",0.888412871
"spreading (exclude, range)",0.888363432
"organs (murderers, bars)",0.887746865
"sean (derek, mile)",0.886765483
"texture (s3, standpoint)",0.886213337
"sinus (gi, karabag)",0.886040224
"sir (protected, licenses)",0.886040224
"crossed (listened, forum)",0.884666505
"thirdparty (aux, hz)",0.8834357829999999
"projected (representing, contains)",0.882252977
"seasons (lose, lebanon)",0.88192103
"zip (widespread, 1939)",0.881753435
