,0
"listinfo (mailman, rec)",0.968247517
"robomod (mailman, rec)",0.968247517
"mailing (mailman, listinfo)",0.923671114
"noir (fatale, femme)",0.9177699779999999
"horror (scary, horrific)",0.913527524
"martial (kung, arts)",0.913068456
"gay (homosexual, homosexuality)",0.911093763
"prison (jail, convicted)",0.899404359
"animation (animated, cartoon)",0.897950733
"arts (rec, listinfo)",0.896792448
"musicals (musical, numbers)",0.896410175
"romantic (romance, falling)",0.895267185
"mailman (listinfo, robomod)",0.895193355
"war (army, soldiers)",0.89346356
"hilarious (funniest, laughing)",0.891132585
"songs (song, lyrics)",0.89044152
"jokes (joke, laughs)",0.89044005
"westerns (western, spaghetti)",0.89007009
"western (westerns, west)",0.889717546
"allens (woody, allen)",0.889381822
"documentary (documentaries, footage)",0.887919531
"comedies (comedic, laughs)",0.885433247
"sherlock (holmes, arthur)",0.8839679140000001
"rec (listinfo, robomod)",0.8835540359999999
"internetreviews (rhodes, email)",0.8826799390000001
"workout (exercises, weight)",0.882640867
"laughs (funnier, hilarious)",0.881653455
"sci (fiction, science)",0.880152733
"drug (drugs, cocaine)",0.878892412
"thriller (thrillers, suspense)",0.875627101
"australian (australia, sydney)",0.875052835
"students (student, schools)",0.8727337820000001
"berardinelli (employers, expressed)",0.87220047
"animated (animation, cartoon)",0.872200403
"mgm (clark, turner)",0.8717583729999999
"allen (woody, allens)",0.8694375990000001
"adults (children, adult)",0.867936629
"funniest (hilarious, laughing)",0.8652454409999999
"musical (singing, scores)",0.865122009
"gags (gag, sight)",0.863900592
"crawford (joan, davis)",0.8638000379999999
"dancing (dance, dances)",0.86365315
"woody (allen, allens)",0.8631075220000001
"suspense (suspenseful, seat)",0.862477919
"nazis (nazi, german)",0.8623112009999999
"coach (sports, team)",0.861811397
"net (mailing, rec)",0.8617953070000001
"soldiers (soldier, army)",0.861447581
"bogart (casablanca, noir)",0.8602528859999999
"teen (teenage, teens)",0.860199495
"indians (indian, native)",0.860058628
"indie (independent, sundance)",0.8597971109999999
"catholic (priest, church)",0.8597204079999999
"zombie (zombies, undead)",0.859680206
"jews (jewish, nazis)",0.859384237
"zombies (zombie, undead)",0.858655669
"creepy (spooky, scary)",0.85848856
"slasher (chainsaw, gore)",0.8583388740000001
