,ndcg
temperature,0.971878991
testify,0.966422602
solid,0.962882942
tea,0.957102266
widely,0.941366152
denial,0.940092775
detecting,0.938739693
dick,0.936185958
pitches,0.935989266
random,0.935353782
salt,0.932734873
vol,0.930323505
volt,0.930323505
voltage,0.930323505
volume,0.930323505
volumes,0.930323505
voluntary,0.930323505
volvo,0.930323505
curiosity,0.929850365
mercy,0.925323689
logic,0.923410509
tires,0.923258155
temporarily,0.921807595
terminated,0.921807595
terminology,0.921807595
terrible,0.921807595
unwilling,0.920260008
struggle,0.919662631
wine,0.918359477
rockies,0.917136521
jc,0.914469806
starting,0.914429877
satisfied,0.913229135
transformation,0.911127433
shoulder,0.91031059
tastes,0.909172769
worship,0.908074946
varied,0.906984848
utterly,0.901978624
vl,0.896703033
operations,0.895442464
publicity,0.894537757
wears,0.894502874
ring,0.893196194
sheer,0.892915141
vs,0.892531667
cs,0.892027693
nutrition,0.891887221
unfortunate,0.889034784
versus,0.888412871
spreading,0.888363432
organs,0.887746865
sean,0.886765483
texture,0.886213337
sinus,0.886040224
sir,0.886040224
crossed,0.884666505
thirdparty,0.883435783
projected,0.882252977
seasons,0.88192103
zip,0.881753435
title,0.881623416
resembling,0.880378141
immediately,0.880036102
sincerely,0.879774449
jackson,0.8795335
scaling,0.878873835
supplies,0.878490145
sector,0.87773855
logitech,0.87486243
scroll,0.874551028
profile,0.874505507
unregistered,0.874119929
totals,0.873275549
technological,0.872798993
quick,0.871301416
tigers,0.871046497
truck,0.870679148
wa,0.87054767
widgets,0.870480299
povray,0.870188983
hughes,0.868896204
guy,0.868565698
site,0.86798835
smoke,0.867670226
paying,0.867265875
runner,0.867178599
rendered,0.865370081
single,0.863227435
signature,0.863092445
x11r5,0.86271175
welfare,0.861846251
pulling,0.861715369
locations,0.861378622
remarks,0.8608194
saver,0.860667248
samples,0.85996739
savings,0.859940378
wifes,0.859394518
visual,0.859382467
specify,0.859370235
pull,0.85918407
postage,0.858716525
quest,0.858584506
heating,0.858043548
reproduction,0.857916135
revolution,0.856905855
xforce,0.856406969
starter,0.856146524
participating,0.855822814
watt,0.855675012
supposed,0.855495583
