,ndcg
vol,0.957261517
volt,0.957261517
voltage,0.957261517
volume,0.957261517
volumes,0.957261517
voluntary,0.957261517
volvo,0.957261517
tigers,0.948673415
postage,0.933288166
povray,0.932888445
starters,0.92920062
secular,0.913322716
ring,0.905613136
utterly,0.884248588
occurring,0.851148968
single,0.844376051
oxygen,0.842410792
widgets,0.842084705
detecting,0.818248592
paying,0.817847767
dick,0.816367658
meets,0.785111012
denial,0.784606918
192,0.777666479
troy,0.775831503
ticket,0.771947376
revolution,0.769072895
phrase,0.767080023
sheer,0.759199673
translate,0.756384186
movements,0.751595977
selling,0.741430138
logic,0.74139319
wo,0.741160405
unreliable,0.739749149
tea,0.737125902
243,0.736321258
versus,0.734392025
muslim,0.729123066
win,0.717227593
temperature,0.71627365
1915,0.714079348
forces,0.712789255
surely,0.712090267
zip,0.707824758
swear,0.707788788
0,0.707692731
noise,0.702346268
20th,0.69777439
510,0.691674841
366,0.691562282
0,0.690354252
1mb,0.689973886
commit,0.687727144
1,0.687639386
5,0.687407657
109,0.687267461
101,0.686358546
simplest,0.68550897
birth,0.684009648
2,0.680488623
1939,0.679351517
wheres,0.679175934
separated,0.676930078
2,0.674651541
mercy,0.6724426
temporarily,0.672132761
terminated,0.672132761
terminology,0.672132761
terrible,0.672132761
applied,0.671464109
another,0.67073384
1960s,0.66902913
9,0.667652252
42,0.666495899
cam,0.665652967
3,0.66390607
struggle,0.663257751
61,0.662794389
40,0.66073988
12v,0.660319101
930401,0.660152696
2mb,0.658507913
baby,0.658076322
4,0.657853211
105,0.657154814
wiped,0.657046995
253,0.656926201
arc,0.656052171
8,0.654926283
1015,0.654439966
7,0.653851226
provides,0.652174642
57,0.646942402
6,0.646170029
158,0.646001323
brightness,0.645807314
116,0.645688609
126,0.643365232
budget,0.641381543
advocating,0.641334807
18th,0.640896222
119,0.63884136
savings,0.638779628
achieved,0.637011853
win31,0.636029958
1000,0.633569197
1100,0.63281912
104,0.632027097
1994,0.631109353
1977,0.631028246
allergic,0.630328037
prayers,0.629680149
10,0.629611219
114,0.629574407
100000,0.629314967
pregnancy,0.627780727
10000,0.627635379
3x,0.627478334
1000000,0.624971347
102,0.624412302
112,0.624315462
aftermarket,0.623582122
threaten,0.622690268
