,all_tree,double_tree,all_tree_trimmed,double_tree_trimmed
Action,"['apes crude batman stupid villain jaws hood chainsaw joke lame ridiculous villains lambs hero fred disaster offensive crap guilty european blockbuster'
 'car cars chases driving'
 'fight fighting epic fights battle weapons fought enemy battles samurai'
 'hong chinese china asian'
 'mgm ballet stunts sequences choreography routines choreographed learns sequence'
 'terrorism terrorist terrorists']",['apes crude batman stupid villain jaws hood chainsaw joke lame ridiculous villains lambs hero fred disaster offensive crap guilty european blockbuster'],['fight fighting epic fights battle weapons fought enemy battles samurai'],[]
Adventure,"['adults children childrens ages parents daughter adult families grandchildren kid parent younger'
 'animation animated anime voiced cartoon'
 'fight fighting epic fights battle weapons fought enemy battles samurai'
 'pirates caribbean' 'ship ships aboard captain'
 'thriller suspense adventure thrillers suspenseful tension exciting thrilling gripping jurassic tense thrills seat taut intense']",['ship ships aboard captain'],['animation animated anime voiced cartoon'],[]
Animation,"['animation animated anime voiced cartoon' 'martial arts kung'
 'orchestra symphony'
 'relationships angst economic godzilla relate situations girlfriend boyfriend paranoia growing'
 'religious religion christ church poverty native beliefs faith jesus god biblical bible village spiritual'
 'reporter journalist']",['animation animated anime voiced cartoon'],['animation animated anime voiced cartoon'],[]
Biography,"['americans rural iraq countries vacation america country governments travel trip'
 'biography biopic' 'democratic'
 'detective investigation mystery clues mysterious investigating'
 'events accuracy accurate facts confusing']",['biography biopic'],['biography biopic'],[]
Comedy,"['apes crude batman stupid villain jaws hood chainsaw joke lame ridiculous villains lambs hero fred disaster offensive crap guilty european blockbuster'
 'bogart screwball quirky neurotic amusing adorable inspector delightful endearing eccentric romp humour colorful hearted likable'
 'cheesy waste horrible campy awful cult rocky mess torture cheap'
 'hilarious jokes comedies laughs funniest funnier laughing laughed comedic unfunny slapstick comedians comedian comics liners antics laughter hilarity farce'
 'thriller suspense adventure thrillers suspenseful tension exciting thrilling gripping jurassic tense thrills seat taut intense']",['thriller suspense adventure thrillers suspenseful tension exciting thrilling gripping jurassic tense thrills seat taut intense'],['hilarious jokes comedies laughs funniest funnier laughing laughed comedic unfunny slapstick comedians comedian comics liners antics laughter hilarity farce'],[]
Crime,"['car cars chases driving' 'gangster mob mafia gangsters mobster'
 'humans outlaw planet abuse charles survive propaganda atrocities narration tales humanity nature'
 'noir crime caper criminal criminals crimes']",['car cars chases driving' 'noir crime caper criminal criminals crimes'],['noir crime caper criminal criminals crimes'],[]
Documentary,"['chemistry baseball gritty scenery gang portrayal masterpiece ensemble beautifully awesome situation believable realistic players crew soundtrack gem dated tough harbor community mountains setting captures pretentious portrayed members outstanding legendary remake deserved location leader talented'
 'documentary footage documentaries interviews interviewed informative'
 'edition print restored blu audio transfer disc bios remastered widescreen extras versions restoration discs format dolby criterion releases digitally included theatrical'
 'murphy eddie' 'vegas las']",['documentary footage documentaries interviews interviewed informative'],['documentary footage documentaries interviews interviewed informative'],[]
Drama,"['documentary footage documentaries interviews interviewed informative'
 'emotional magical waves stage silent evidence broadway emotionally powerful emotions affair emotion owner dramatic bland deeply feelings truth loss passionate'
 'hilarious jokes comedies laughs funniest funnier laughing laughed comedic unfunny slapstick comedians comedian comics liners antics laughter hilarity farce'
 'horror creepy slasher dracula scares scare supernatural spooky chills scariest frightening terrifying halloween haunted chilling haunting scary ghost elm horrific demonic'
 'inspirational inspiring fiction narrative subject fascinating intriguing portrait financial study filmmaker cinematic filmmaking riveting harrowing robert compelling complex information jackie engaging filmmakers profound ambitious'
 'jean claude'
 'touching heartwarming depressing heartbreaking friendship poignant heartfelt uplifting affecting warm aging']",[],['emotional magical waves stage silent evidence broadway emotionally powerful emotions affair emotion owner dramatic bland deeply feelings truth loss passionate'],[]
Family,"['adults children childrens ages parents daughter adult families grandchildren kid parent younger'
 'animation animated anime voiced cartoon' 'disney disneys walt'
 'spectacle visuals visual visually breathtaking artistic surreal technology imagery stunning futuristic photography matrix imaginative gothic cinematographer imagination']",['adults children childrens ages parents daughter adult families grandchildren kid parent younger'],['adults children childrens ages parents daughter adult families grandchildren kid parent younger'],[]
Fantasy,"['animation animated anime voiced cartoon' 'fantasy fairy fairytale'
 'inspirational inspiring fiction narrative subject fascinating intriguing portrait financial study filmmaker cinematic filmmaking riveting harrowing robert compelling complex information jackie engaging filmmakers profound ambitious'
 'mummy' 'prostitute prostitution']",['animation animated anime voiced cartoon' 'fantasy fairy fairytale'],['fantasy fairy fairytale'],[]
Film-Noir,"['femme fatale' 'hitchcock hitchcocks alfred' 'los angeles'
 'nudity nude naked' 'snl']",['femme fatale'],['femme fatale'],[]
History,"['car cars chases driving'
 'edition print restored blu audio transfer disc bios remastered widescreen extras versions restoration discs format dolby criterion releases digitally included theatrical'
 'events accuracy accurate facts confusing'
 'government politics political campaign president bush politicians administration election'
 'historical costumes era period historically clothes century']","['car cars chases driving'
 'government politics political campaign president bush politicians administration election']",['events accuracy accurate facts confusing'],[]
Horror,"['emotional magical waves stage silent evidence broadway emotionally powerful emotions affair emotion owner dramatic bland deeply feelings truth loss passionate'
 'horror creepy slasher dracula scares scare supernatural spooky chills scariest frightening terrifying halloween haunted chilling haunting scary ghost elm horrific demonic'
 'monster creature creatures' 'noir crime caper criminal criminals crimes'
 'nominated oscar won award winning nomination']",['horror creepy slasher dracula scares scare supernatural spooky chills scariest frightening terrifying halloween haunted chilling haunting scary ghost elm horrific demonic'],['horror creepy slasher dracula scares scare supernatural spooky chills scariest frightening terrifying halloween haunted chilling haunting scary ghost elm horrific demonic'],[]
Music,"['concert band musicians bands rock musician punk'
 'culture cultural cultures' 'dancing dance dances'
 'gore gory violence violent bloody brutal brutality blood graphic'
 'musicals songs singing musical song numbers sing sings singer singers lyrics vocals sung'
 'rambo revenge assassination killed killing kills kill gun shoot']",['musicals songs singing musical song numbers sing sings singer singers lyrics vocals sung'],['musicals songs singing musical song numbers sing sings singer singers lyrics vocals sung'],[]
Musical,"['concert band musicians bands rock musician punk'
 'killer serial killings murderer killers maniac'
 'mgm ballet stunts sequences choreography routines choreographed learns sequence'
 'musicals songs singing musical song numbers sing sings singer singers lyrics vocals sung'
 'sergeant sgt']",['killer serial killings murderer killers maniac'],['musicals songs singing musical song numbers sing sings singer singers lyrics vocals sung'],[]
Mystery,"['detective investigation mystery clues mysterious investigating'
 'hitchcock hitchcocks alfred'
 'horror creepy slasher dracula scares scare supernatural spooky chills scariest frightening terrifying halloween haunted chilling haunting scary ghost elm horrific demonic'
 'robbers']","['detective investigation mystery clues mysterious investigating'
 'horror creepy slasher dracula scares scare supernatural spooky chills scariest frightening terrifying halloween haunted chilling haunting scary ghost elm horrific demonic']",['detective investigation mystery clues mysterious investigating'],[]
Romance,"['adults children childrens ages parents daughter adult families grandchildren kid parent younger'
 'gore gory violence violent bloody brutal brutality blood graphic'
 'romantic charming romance cute charm chick sweet technicolor gorgeous meets lovely enchanting innocent wholesome beauty gentle handsome'
 'wedding marry']","['gore gory violence violent bloody brutal brutality blood graphic'
 'wedding marry']",['romantic charming romance cute charm chick sweet technicolor gorgeous meets lovely enchanting innocent wholesome beauty gentle handsome'],[]
Sci-Fi,"['frankenstein' 'sci alien space aliens outer invasion'
 'science scientific scientist scientists research'
 'war soldiers vietnam combat military troops soldier army']",['science scientific scientist scientists research'],['sci alien space aliens outer invasion'],[]
Short,"['beach' 'episodes episode seasons aired television storylines'
 'gangster mob mafia gangsters mobster' 'python monty']",[],['episodes episode seasons aired television storylines' 'python monty'],[]
Sport,"['boxing' 'car cars chases driving' 'coach sports team sport football'
 'karate' 'virus']",['coach sports team sport football' 'karate'],['coach sports team sport football'],[]
Thriller,"['detective investigation mystery clues mysterious investigating'
 'killer serial killings murderer killers maniac'
 'monster creature creatures' 'noir crime caper criminal criminals crimes'
 'thriller suspense adventure thrillers suspenseful tension exciting thrilling gripping jurassic tense thrills seat taut intense']",['thriller suspense adventure thrillers suspenseful tension exciting thrilling gripping jurassic tense thrills seat taut intense'],['thriller suspense adventure thrillers suspenseful tension exciting thrilling gripping jurassic tense thrills seat taut intense'],[]
War,"['allens allen woody' 'german germany wwii germans hitler'
 'japanese japan'
 'war soldiers vietnam combat military troops soldier army']",['german germany wwii germans hitler' 'japanese japan'],['war soldiers vietnam combat military troops soldier army'],[]
Western,"['hong chinese china asian' 'japanese japan' 'monster creature creatures'
 'westerns western']",['japanese japan'],['westerns western'],[]
