,ndcg
horror,0.891095161
westerns,0.873213677
documentary,0.861927969
comedies,0.846253261
hilarious,0.841501014
laughs,0.839572117
sci,0.831736825
adults,0.829889788
songs,0.828071658
war,0.827136272
western,0.826988593
thriller,0.820673582
suspense,0.814217474
historical,0.811675099
creepy,0.811206845
animation,0.810036928
animated,0.809240167
funniest,0.809140923
funnier,0.80802715
comedic,0.80734175
science,0.804533518
musicals,0.803837448
musical,0.802141541
song,0.801107034
singing,0.797285902
jokes,0.79447146
gore,0.791883737
gags,0.791770835
crime,0.790926967
charming,0.788391921
cute,0.788311816
amusing,0.78708801
romance,0.786077452
romantic,0.780257623
adventure,0.778101856
laughing,0.77779823
interviews,0.776929783
atmosphere,0.773415877
footage,0.77276081
emotional,0.772097858
portrayal,0.770709167
mystery,0.768955452
murder,0.768028948
charm,0.766211049
sequences,0.765963148
laughed,0.765330513
cheesy,0.765303911
exciting,0.764069345
thrillers,0.762596981
adult,0.762152251
documentaries,0.761778217
suspenseful,0.76143504
sports,0.761285793
gory,0.75931061
ages,0.759305591
chemistry,0.758697984
period,0.75819403
noir,0.75815721
touching,0.75628311
children,0.756069435
subject,0.753763515
slapstick,0.752485114
scares,0.750802524
clever,0.750637985
accurate,0.749210683
premise,0.749083889
tension,0.748385106
events,0.747899998
sweet,0.747198783
childrens,0.746690463
costumes,0.746284235
beautifully,0.746017343
predictable,0.745310049
scare,0.744582827
fascinating,0.7437894
frightening,0.743256614
intriguing,0.74311897
unfunny,0.74257279
villain,0.742522429
dramatic,0.74241637
era,0.742236049
situations,0.742180683
wwii,0.741003925
historically,0.740952785
twists,0.740693899
magical,0.740523594
effective,0.740158517
killed,0.739921998
flicks,0.738903024
ridiculous,0.738721301
cheap,0.738614498
loud,0.737251709
powerful,0.735815093
believable,0.735283488
numbers,0.73496476
witty,0.734766367
kid,0.734566529
fiction,0.73366833
killer,0.733545475
emotions,0.732970306
actress,0.732614873
supernatural,0.73158525
emotionally,0.731574499
police,0.730913151
portrayed,0.728855871
lame,0.728669383
voice,0.728276205
gorgeous,0.728029842
victims,0.727927868
meets,0.72770972
famous,0.727347686
gritty,0.726896362
violent,0.726348029
stupid,0.726238539
twist,0.72583677
spooky,0.72579587
