,ndcg
listinfo,0.968247517
robomod,0.968247517
mailing,0.923671114
noir,0.917769978
horror,0.913527524
martial,0.913068456
gay,0.911093763
prison,0.899404359
animation,0.897950733
arts,0.896792448
musicals,0.896410175
romantic,0.895267185
mailman,0.895193355
war,0.89346356
hilarious,0.891132585
songs,0.89044152
jokes,0.89044005
westerns,0.89007009
western,0.889717546
allens,0.889381822
documentary,0.887919531
comedies,0.885433247
sherlock,0.883967914
rec,0.883554036
internetreviews,0.882679939
workout,0.882640867
laughs,0.881653455
sci,0.880152733
drug,0.878892412
thriller,0.875627101
australian,0.875052835
students,0.872733782
berardinelli,0.87220047
animated,0.872200403
mgm,0.871758373
allen,0.869437599
adults,0.867936629
funniest,0.865245441
musical,0.865122009
gags,0.863900592
crawford,0.863800038
dancing,0.86365315
woody,0.863107522
suspense,0.862477919
nazis,0.862311201
coach,0.861811397
net,0.861795307
soldiers,0.861447581
bogart,0.860252886
teen,0.860199495
indians,0.860058628
indie,0.859797111
catholic,0.859720408
zombie,0.859680206
jews,0.859384237
zombies,0.858655669
creepy,0.85848856
slasher,0.858338874
italian,0.858197513
elvis,0.857948151
singing,0.856922093
historical,0.856468051
spoof,0.855555229
surfing,0.855184938
dance,0.855133701
robbery,0.855005341
nazi,0.853312854
teacher,0.852965031
sexual,0.852352136
town,0.852078954
nudity,0.852049046
killer,0.852040929
disney,0.851701652
indian,0.851094574
satire,0.850683987
sports,0.849594231
gore,0.849356698
vampire,0.848868278
episodes,0.848760541
christianity,0.848615556
french,0.847946016
british,0.847478455
chemistry,0.847288667
science,0.846910033
band,0.846595748
romance,0.845396101
dracula,0.845332625
silicon,0.844861724
hitchcock,0.844628636
funnier,0.844310204
charming,0.843951678
crime,0.843940747
concert,0.843357994
apes,0.843333888
gangster,0.843168024
installment,0.842913305
japanese,0.842768273
vietnam,0.842715027
costumes,0.842641843
patients,0.84244397
german,0.842239044
religious,0.842216945
spoofs,0.842057751
cop,0.84180635
religion,0.841599328
police,0.841350898
christ,0.840444946
santa,0.840186595
marriage,0.840143895
bond,0.839890728
laughing,0.839885262
song,0.839577545
mob,0.838788121
erotic,0.838779312
adaptation,0.838613208
detective,0.838199095
adventure,0.838125926
marx,0.83762044
festival,0.837059194
fight,0.835766016
screwball,0.835632799
heist,0.835510533
hitchcocks,0.835432104
communist,0.835407971
courtroom,0.834912133
teachers,0.834694361
laughed,0.833864399
married,0.833483798
comedic,0.83333624
vhs,0.833302125
raunchy,0.832918032
attorney,0.83248954
lawyer,0.831669179
artist,0.831334993
wwii,0.830721669
musicians,0.830689058
scares,0.830596177
gory,0.830311186
una,0.8302863
email,0.830039068
animals,0.829979227
medical,0.829930107
drugs,0.829745595
government,0.829720401
potter,0.829414849
cute,0.829197419
anime,0.829067949
simpsons,0.829001363
footage,0.828865692
germany,0.828375238
emotional,0.828286655
numbers,0.828257045
predictable,0.82813571
unfunny,0.82732877
frankenstein,0.827235831
crude,0.827200532
inspirational,0.826537779
holmes,0.826474971
slapstick,0.82642135
wayne,0.826364066
monster,0.826194221
warners,0.825257943
team,0.825005878
christmas,0.824880052
germans,0.824856893
episode,0.824423312
thrillers,0.823372368
college,0.823334309
pilot,0.823126279
schools,0.822955411
racial,0.822593491
australia,0.822567489
serial,0.822402184
nuclear,0.821976089
planes,0.821580151
humans,0.820967396
dog,0.820402843
reporter,0.820063881
nerds,0.819567601
ireland,0.81950611
mexico,0.819488731
baseball,0.819384593
children,0.819066668
car,0.818800619
murder,0.817933824
africa,0.817869472
scientific,0.817642085
plane,0.817437056
hong,0.817248383
mafia,0.817145401
touching,0.816824514
politics,0.816733114
campus,0.81670363
supernatural,0.816616168
soviet,0.81625562
atmosphere,0.816234623
quirky,0.816205426
scientist,0.815888471
christians,0.815775971
mexican,0.815377742
wedding,0.815017418
scare,0.81486367
political,0.814739742
ocean,0.814552537
addiction,0.81426966
spooky,0.814000387
parody,0.813553669
racism,0.813384223
birth,0.813357202
violence,0.813069067
townspeople,0.812814676
gambling,0.812491946
disneys,0.812312874
dancer,0.812140178
spaghetti,0.81212564
joan,0.81189463
documentaries,0.81151541
towns,0.811313176
los,0.811286502
combat,0.811229638
interviews,0.811186796
kidnapped,0.811036003
gritty,0.810817962
southern,0.810568555
warner,0.810568399
african,0.810265766
husband,0.810265124
murders,0.810254628
print,0.810200255
twists,0.810063733
jewish,0.810011336
doctor,0.809399453
inspiring,0.80892661
teens,0.808720846
suspenseful,0.808362342
marry,0.808028459
cops,0.807998224
kung,0.807605178
ballet,0.807414957
alcoholic,0.807179903
church,0.807146966
bank,0.80678947
melodrama,0.806607293
aircraft,0.806059092
investigation,0.806002224
esta,0.805971971
opera,0.805957452
magical,0.805924686
legal,0.805683478
witty,0.805571901
culture,0.805536499
hop,0.805149467
heartwarming,0.804920401
actress,0.804811177
franchise,0.804376614
airplane,0.804372075
batman,0.804371203
irish,0.804309735
sexy,0.803980097
message,0.80390838
dancers,0.803860814
student,0.803513024
racist,0.803275865
childrens,0.803248901
stage,0.803161801
edition,0.803102326
orchestra,0.802941626
era,0.802902361
england,0.802718129
fantasy,0.80261755
mental,0.802558436
mystery,0.80224448
homosexuality,0.802220427
stunts,0.802211623
charm,0.802207256
keaton,0.801662451
california,0.801612977
ship,0.801546132
beatles,0.80106368
waves,0.800903148
poverty,0.80084049
russian,0.80071702
terrorism,0.800321587
lesbian,0.800308821
violent,0.80013673
rambo,0.799854383
military,0.799804755
vampires,0.799662861
sequences,0.799576863
disturbing,0.799063981
trek,0.799022598
priest,0.79882095
agent,0.798692003
neurotic,0.798638832
britain,0.798511371
wealthy,0.798423837
sport,0.798332303
sing,0.798303748
parodies,0.797934982
alcoholism,0.797846272
period,0.797517465
silent,0.797259397
sings,0.796804699
burt,0.796784717
fighting,0.79665884
epic,0.796166268
relationships,0.796152872
teenage,0.796132692
island,0.79606176
scenery,0.795916365
spectacle,0.79551333
disease,0.795492723
chinese,0.795282901
shakespeare,0.79528211
fights,0.794926604
visuals,0.794760272
gangsters,0.794628315
york,0.794396514
sentimental,0.794145613
doctors,0.794023996
republican,0.793974658
events,0.793622274
sequels,0.793319702
journalist,0.792750196
troops,0.792323958
americans,0.792088156
rape,0.791903728
jean,0.791540936
hip,0.791244483
restored,0.791170711
cheesy,0.790741117
chick,0.790540184
football,0.790302007
historically,0.790293035
tension,0.789857535
dysfunctional,0.789819096
boxing,0.788891513
nominated,0.788315509
gang,0.788258187
visual,0.788036252
soldier,0.787972655
holocaust,0.787957543
chills,0.787798047
season,0.787783168
ships,0.787700595
blacks,0.787578748
revenge,0.787498267
sweet,0.787467678
teaching,0.787407032
stupid,0.787027333
waste,0.786748668
sequel,0.786647876
scariest,0.786614331
aka,0.786604076
frightening,0.786546819
visually,0.786422832
evidence,0.786313884
native,0.786203341
sexually,0.786084681
childhood,0.785860004
broadway,0.785859547
hospital,0.785831484
clever,0.785808144
villain,0.785639394
social,0.785429016
killings,0.785351243
satirical,0.785241777
christian,0.78482594
girls,0.784809956
blu,0.784790473
python,0.784277902
jesus,0.783973622
space,0.783778182
exploitation,0.783758297
nationwide,0.78375687
animal,0.783431224
caper,0.783427639
illness,0.783392237
ages,0.783384071
russia,0.783298603
homosexual,0.783173362
officer,0.783112094
artists,0.782964286
alien,0.782888793
beliefs,0.782765563
manhattan,0.78264014
voice,0.782611429
faith,0.782507723
assassination,0.782312517
parents,0.78226277
fiction,0.782112344
horrible,0.781929847
god,0.781874651
premise,0.781514117
sea,0.780729392
campaign,0.780684563
outlaw,0.780508301
pirates,0.780422689
adult,0.780324602
amusing,0.780200682
corporate,0.780135646
drunk,0.780128668
scientists,0.780072336
france,0.779825359
dances,0.779760887
por,0.779660062
chan,0.779454635
killed,0.779192492
greed,0.778911936
trial,0.778618374
breathtaking,0.778547728
planet,0.77840361
teenagers,0.778350192
prostitute,0.778332409
victims,0.778239276
subtitles,0.778218434
cultural,0.778144093
alcohol,0.778033619
tear,0.777716812
awful,0.777559382
food,0.777543593
sexuality,0.777462591
employers,0.777359806
audio,0.777143233
bands,0.777140383
campy,0.777133564
adolescence,0.777053005
transfer,0.777033714
prisoners,0.776911271
corporations,0.776861401
singer,0.776702992
oscar,0.776636939
artistic,0.776572609
psychological,0.776497502
portrayal,0.77647475
english,0.776459778
rural,0.776223177
adaptations,0.77620199
battle,0.776051194
espionage,0.776033799
aerial,0.775865684
daughter,0.775860751
masterpiece,0.775825652
families,0.77576693
choreography,0.77528873
comedians,0.775239849
president,0.775230432
terrifying,0.775081168
convicted,0.775064211
health,0.775044176
criminal,0.77491224
creature,0.774847519
creatures,0.774826772
society,0.774790121
rocky,0.774516225
boss,0.774457462
accurate,0.774300765
boat,0.774252189
disc,0.774235161
exciting,0.774231287
emotionally,0.774213297
india,0.77391996
