,0
"horror (pacing, dialog)",0.891095161
"westerns (russian, digitally)",0.8732136770000001
"documentary (joke, ultimate)",0.861927969
"comedies (actress, entertain)",0.846253261
"hilarious (disappointment, dozen)",0.8415010140000001
"laughs (woods, rights)",0.839572117
"sci (equivalent, intent)",0.831736825
"adults (grown, rushed)",0.829889788
"songs (battle, speak)",0.8280716579999999
"war (military, james)",0.8271362720000001
"western (don, stick)",0.8269885929999999
"thriller (cable, psychological)",0.8206735820000001
"suspense (die, air)",0.8142174740000001
"historical (endless, locations)",0.811675099
"creepy (bigger, source)",0.811206845
"animation (breast, governments)",0.8100369279999999
"animated (share, ann)",0.809240167
"funniest (campy, enter)",0.809140923
"funnier (sincere, jealous)",0.80802715
"comedic (humorous, hilarious)",0.80734175
"science (auto, basis)",0.804533518
"musicals (decadent, kelly)",0.803837448
"musical (values, heres)",0.8021415409999999
"song (share, singer)",0.801107034
"singing (bored, soundtrack)",0.797285902
"jokes (jerry, jumps)",0.79447146
"gore (bodies, directly)",0.791883737
"gags (belly, enter)",0.791770835
"crime (store, media)",0.790926967
"charming (closely, awkward)",0.788391921
"cute (dubbed, sidekick)",0.7883118159999999
"amusing (direct, wildly)",0.78708801
"romance (song, unlike)",0.786077452
"romantic (meets, mood)",0.780257623
"adventure (classics, favorites)",0.7781018559999999
"laughing (improved, castle)",0.77779823
"interviews (expensive, field)",0.7769297829999999
"atmosphere (reminded, fell)",0.773415877
"footage (water, filmmakers)",0.77276081
"emotional (depth, thoughts)",0.772097858
"portrayal (leading, wonderfully)",0.770709167
"mystery (wise, situation)",0.768955452
"murder (warned, imdb)",0.768028948
"charm (developed, stops)",0.766211049
"sequences (office, filmmakers)",0.765963148
"laughed (hearted, wander)",0.765330513
"cheesy (male, held)",0.765303911
"exciting (audio, widescreen)",0.764069345
"thrillers (chilling, domestic)",0.762596981
"adult (water, trailer)",0.762152251
"documentaries (click, digitally)",0.761778217
"suspenseful (post, building)",0.76143504
"sports (crappy, commit)",0.761285793
