,0
"leafs (botanic, f100)",0.85788629
"aerialphotography (beaver, kiteaerialphotography)",0.8464306009999999
"irvine (jay, meet)",0.7881795629999999
"centralcoast (published, aloha)",0.784536035
"swell (fin, polar)",0.773968642
"pacificocean (puerto, waves)",0.76663261
"trunks (birch, pair)",0.764078405
"southflorida (fla, hawaiian)",0.763064148
"lapland (alberi, topv333)",0.751886112
"sunbathing (underwater, relaxed)",0.742143744
"fiat (corvette, citroen)",0.729560441
"dj (pop, smoking)",0.728145433
"magicunicornverybest (ww1, fjord)",0.723565782
"kennedy (roadside, hampton)",0.722020113
"debris (urbanart, fake)",0.720044772
"ibiza (vacanza, baleares)",0.719073599
"gala (uwa, galaxy)",0.714623892
"lune (artofimages, roche)",0.711986751
"puddle (35, manual)",0.7109147029999999
"association (series, fan)",0.708839123
"dylan (taken, bryan)",0.705625863
"sam (2003, photographs)",0.696964647
"outhouse (protect, circularpolarizer)",0.693088204
"straightoutofcamera (soda, coke)",0.689585597
"cd (singer, letters)",0.6886389940000001
"stephens (buses, courthouse)",0.687776017
"eclipse (1116mm, canoneos450d)",0.686004308
"newyears (publicart, lx3)",0.6840510009999999
"bone (highquality, alive)",0.68305639
"neutraldensity (bracken, karst)",0.68150191
"builtstructure (roofs, turret)",0.6801779379999999
"canong7 (arrows, pm)",0.678311111
"photomatixpro (usnationalregisterofhistoricplaces, prince)",0.667871203
"tie (linda, character)",0.665194406
"ring (coolpix, circles)",0.6649912920000001
"wv (westvirginia, stripe)",0.664941772
"centercity (penn, citycenter)",0.664644436
"aberdeen (heads, konicaminolta)",0.66439548
"campagna (bianconero, loneliness)",0.663562993
"cover (soft, figure)",0.662989751
"raindrops (raining, ears)",0.662009254
"crucifix (pologne, capitale)",0.661887278
"canonefs18135mmf3556is (x2, forsaken)",0.659702943
"rim (strobe, 500)",0.659344672
"langzeitbelichtung (schwarzweiss, colombia)",0.6584611579999999
"workplace (eclectic, dressing)",0.655534933
"australie (australien, veteran)",0.653808893
"paul (peter, robert)",0.650568449
"canons90 (canonpowershots90, last)",0.649605028
"ostsee (contrejour, noirblanc)",0.644983663
"washingtondc (nighttime, dcist)",0.644381351
"sonycybershot (rodinal, schwarz)",0.644081405
"yahoo (matt, graphic)",0.64278707
"aisle (spirits, yucatan)",0.642362119
"65 (900, 18135)",0.642289905
"1983 (1979, powell)",0.642270364
"vertorama (1024mm, outlook)",0.6421777479999999
"diafine (fujicolor, smc)",0.640466374
"dragon (figure, lion)",0.6401823170000001
"gx100 (16th, nokton)",0.639275811
"row (tiltshift, ky)",0.637093775
"lensflare (sw, rails)",0.6366678570000001
"maghreb (tunisie, mypics)",0.6365222220000001
"cola (meat, coke)",0.636175226
"photographers (zen, inverno)",0.63562203
"humanidad (patrimonio, obelisk)",0.635408338
"soil (meadow, farming)",0.633926271
"fans (shorts, series)",0.63378848
"yokohama (pedestrian, pedestrians)",0.633701626
"minas (musica, cultura)",0.628224584
"worldwar2 (ww2, civilwar)",0.626484162
"flow (through, freezing)",0.625335491
"bostonma (cleavage, convention)",0.624324303
"stag (leopard, dorset)",0.623847755
"bruxelles (brussels, prague)",0.623407356
"paisajes (friuli, mygearandmegold)",0.623254651
"erie (gloomy, nik)",0.6226766570000001
"cube (mirrors, frankfurt)",0.621895243
"past (romania, columns)",0.620713768
"gloom (isleofwight, s6000fd)",0.62003889
"rad (graf, lense)",0.619726009
"k800i (olympusxa, doubleexposure)",0.619413026
"coloured (nero, multiple)",0.6189739160000001
"bend (shield, evergreen)",0.61765541
"columns (pillars, past)",0.617210073
"canoneos5d (24mm, lx3)",0.61693013
"handsome (mode, sleep)",0.61626449
"stalls (markt, concerts)",0.6157472420000001
"austin (mn, mi)",0.614728596
"25mm (taking, panda)",0.6145710520000001
"lagos (sichuan, massage)",0.613611939
"cab (arrow, lisboa)",0.613082315
"visitor (asie, sight)",0.6126922260000001
"combat (aeroplane, weapons)",0.612523241
"proud (weapons, tights)",0.61134007
"locomotive (rails, distance)",0.610055603
"cornell (cybershot, standing)",0.60985646
"snowy (goose, bush)",0.609274406
"triangles (arrows, trolley)",0.608962691
"tv (stage, graphic)",0.608703466
"mundo (sur, fotografo)",0.606831724
"tienda (havana, cheval)",0.606643644
"bikeride (mohawk, tights)",0.606057346
"scan (sunday, 200)",0.605950377
"55250mm (veteran, brampton)",0.604783976
"newdelhi (yucatan, museums)",0.604043586
"elevated (passenger, 101)",0.603836761
"asleep (whiskers, curious)",0.603564329
"austintexas (santamonica, atl)",0.603395193
"panasonicdmctz3 (panasonictz3, dmctz3)",0.6032608620000001
"flooded (robin, hunting)",0.603222336
"pugetsound (electric, horseshoe)",0.6022397629999999
"eisenbahn (bahn, slowshutterspeed)",0.60222655
"collingwood (adrian, whistler)",0.602014858
"elite (15, el)",0.6017812539999999
"rc (pilot, porsche)",0.600875578
"peek (snowman, raindrops)",0.600817996
"powerlines (bleak, poles)",0.60054027
"passage (stair, corridor)",0.599961641
"talvi (norge, magichour)",0.5994949279999999
"swift (rapid, arrows)",0.598688426
"cultura (cruz, grande)",0.598670936
"norwich (norfolk, dean)",0.598627238
"fla (nikond300s, dolphin)",0.597312955
"blonde (necklace, clothes)",0.596876921
"torn (locked, tin)",0.596291692
"8 (mary, motorcycle)",0.59624985
"piper (du, 30)",0.595695223
"decor (decorations, kitchen)",0.595316445
"1855 (finepix, o)",0.594887153
"fredericksburg (lamb, alice)",0.593553359
"collar (hate, furry)",0.593410554
"airplane (topaz, in)",0.593381497
"release (musical, sing)",0.593043754
"mallard (prospect, alligator)",0.592772018
"18200vr (f4l, native)",0.592617314
"johnson (rules, photographic)",0.592096081
"weatherbug (airme, slidefilm)",0.592051462
"cloudysky (crisp, outing)",0.591389399
"faved (topf25, hayward)",0.591134019
"moor (worldheritage, platinumheartaward)",0.590715006
"century (victorian, shade)",0.58949265
"grunge (russian, suomi)",0.589203047
"buddhist (zen, buddha)",0.588155069
"swings (athletes, vote)",0.587255825
"mike (joe, ben)",0.5872143360000001
"arrival (disrepair, luces)",0.587023682
"innovation (galleries, harrypotter)",0.58662982
