,all_tree,double_tree,all_tree_trimmed,double_tree_trimmed
alt,"(charlie,  
 (genesis,  
 (homosexuality,  
 (objectively,  
 (participated,  
 (stacker,  
 ","(participated,  
 ","(charlie,  
 (genesis,  
 (homosexuality,  
 (objectively,  
 (participated,  
 (stacker,  
 ",participated  (
comp,"(jurisdiction,  
 (reset,  
 (rgb,  
 (tiff,  
 (xlib,  
 ","(rgb,  
 (xlib,  
 ","(jurisdiction,  
 (reset,  
 (rgb,  
 (tiff,  
 (xlib,  
 ",rgb  (xlib )
comp,"(525,  
 (ati,  
 (espn,  
 (stacker,  
 (tons,  
 (xlib,  
 (xterm,  
 ",,"(525,  
 (ati,  
 (espn,  
 (stacker,  
 (tons,  
 (xlib,  
 (xterm,  
 ",
comp,"(cmos,  
 (diamond,  
 (ide,  
 (jumpers,  
 (motherboards,  
 (obo,  
 ","(ide,  
 ","(cmos,  
 (diamond,  
 (ide,  
 (jumpers,  
 (motherboards,  
 (obo,  
 ",ide  (
comp,"(bombs,  
 (centris,  
 (motherboards,  
 (quadra,  
 (rsa,  
 (stealth,  
 ","(centris,  
 ","(bombs,  
 (centris,  
 (motherboards,  
 (quadra,  
 (rsa,  
 (stealth,  
 ",centris  (
comp,"(pipes,  
 (r5,  
 (reset,  
 (widget,  
 (xlib,  
 (xterm,  
 ","(xterm,  
 ","(pipes,  
 (r5,  
 (reset,  
 (widget,  
 (xlib,  
 (xterm,  
 ",xterm  (
misc,"(adobe,  
 (alien,  
 (cds,  
 (duo, bikers, clinic, corel, midi, blew, digitized, sank, barbara, runner, powerbook, flaming, rebuilt, amplifier, bait, sequences, oral, eisa, kermit, cabin, smiley, executing, centered, 305, poverty, compartment, mature, extracted, cartridge, missions, icons, harley, resolutions, echo, bye, lightly, grain) 
 (obo,  
 (width,  
 ","(duo, bikers, clinic, corel, midi, blew, digitized, sank, barbara, runner, powerbook, flaming, rebuilt, amplifier, bait, sequences, oral, eisa, kermit, cabin, smiley, executing, centered, 305, poverty, compartment, mature, extracted, cartridge, missions, icons, harley, resolutions, echo, bye, lightly, grain) 
 ","(adobe,  
 (alien,  
 (cds,  
 (duo, bikers, clinic, corel, midi, blew, digitized, sank, barbara, runner, powerbook, flaming, rebuilt, amplifier, bait, sequences, oral, eisa, kermit, cabin, smiley, executing, centered, 305, poverty, compartment, mature, extracted, cartridge, missions, icons, harley, resolutions, echo, bye, lightly, grain) 
 (obo,  
 (width,  
 ",duo bikers clinic corel midi blew digitized sank barbara runner powerbook flaming rebuilt amplifier bait sequences oral eisa kermit cabin smiley executing centered 305 poverty compartment mature extracted cartridge missions icons harley resolutions echo bye lightly grain  (
rec,"(bikes,  
 (helmet,  
 (radar,  
 (tickets,  
 (toyota,  
 ","(bikes,  
 (toyota,  
 ","(bikes,  
 (helmet,  
 (radar,  
 (tickets,  
 (toyota,  
 ",bikes  (toyota )
rec,"(bikes,  
 (dram,  
 (helmet,  
 (virgin,  
 ","(bikes,  
 ","(bikes,  
 (dram,  
 (helmet,  
 (virgin,  
 ",bikes  (
rec,"(com,  
 (espn,  
 (hayes,  
 (pitching,  
 ","(espn,  
 (hayes,  
 ","(com,  
 (espn,  
 (hayes,  
 (pitching,  
 ",espn  (hayes )
rec,"(envelope,  
 (espn,  
 (overlap,  
 (playback, transmissions, parity, dim, coprocessor, vitamin, adb, calcium, bathroom, duck, progun, 5v, umpires, autoexecbat, trashed, valentine, mineral, washer, 12v, wine, transistor, holiday, instructor, stove, armenia, uphold, offset, curves, multitasking, goverment, cirrus, stones, compares, 20mb, cb, ohm, diagnostics, prophecy, pedal, bolt, 640x480, libertarians, volt, 2b, advocated, gentiles, dots, fulfill, mathematics, dietary, pov, ceremonial, 80ns, hebrews, void, receivers, shack, xor, carb, null, kidney, ver, quack, braking, cups, antenna, protestants, justifies, rex, battery, serial, willie, elementary, emacs, rs, ninja, modem, appletalk, 144k, violating, rub, bios, scanned, atoms, dictate, motorcycles, drum, orbit, clipper, linked, pascal, borrow, tossing, titan, trim, quran, costing, foods) 
 (stanley,  
 (tommy,  
 ","(playback, transmissions, parity, dim, coprocessor, vitamin, adb, calcium, bathroom, duck, progun, 5v, umpires, autoexecbat, trashed, valentine, mineral, washer, 12v, wine, transistor, holiday, instructor, stove, armenia, uphold, offset, curves, multitasking, goverment, cirrus, stones, compares, 20mb, cb, ohm, diagnostics, prophecy, pedal, bolt, 640x480, libertarians, volt, 2b, advocated, gentiles, dots, fulfill, mathematics, dietary, pov, ceremonial, 80ns, hebrews, void, receivers, shack, xor, carb, null, kidney, ver, quack, braking, cups, antenna, protestants, justifies, rex, battery, serial, willie, elementary, emacs, rs, ninja, modem, appletalk, 144k, violating, rub, bios, scanned, atoms, dictate, motorcycles, drum, orbit, clipper, linked, pascal, borrow, tossing, titan, trim, quran, costing, foods) 
 ","(envelope,  
 (espn,  
 (overlap,  
 (playback, transmissions, parity, dim, coprocessor, vitamin, adb, calcium, bathroom, duck, progun, 5v, umpires, autoexecbat, trashed, valentine, mineral, washer, 12v, wine, transistor, holiday, instructor, stove, armenia, uphold, offset, curves, multitasking, goverment, cirrus, stones, compares, 20mb, cb, ohm, diagnostics, prophecy, pedal, bolt, 640x480, libertarians, volt, 2b, advocated, gentiles, dots, fulfill, mathematics, dietary, pov, ceremonial, 80ns, hebrews, void, receivers, shack, xor, carb, null, kidney, ver, quack, braking, cups, antenna, protestants, justifies, rex, battery, serial, willie, elementary, emacs, rs, ninja, modem, appletalk, 144k, violating, rub, bios, scanned, atoms, dictate, motorcycles, drum, orbit, clipper, linked, pascal, borrow, tossing, titan, trim, quran, costing, foods) 
 (stanley,  
 (tommy,  
 ",playback transmissions parity dim coprocessor vitamin adb calcium bathroom duck progun 5v umpires autoexecbat trashed valentine mineral washer 12v wine transistor holiday instructor stove armenia uphold offset curves multitasking goverment cirrus stones compares 20mb cb ohm diagnostics prophecy pedal bolt 640x480 libertarians volt 2b advocated gentiles dots fulfill mathematics dietary pov ceremonial 80ns hebrews void receivers shack xor carb null kidney ver quack braking cups antenna protestants justifies rex battery serial willie elementary emacs rs ninja modem appletalk 144k violating rub bios scanned atoms dictate motorcycles drum orbit clipper linked pascal borrow tossing titan trim quran costing foods  (
sci,"(accelerator,  
 (cellular,  
 (pirates,  
 (rsa,  
 ","(cellular,  
 (rsa,  
 ","(accelerator,  
 (cellular,  
 (pirates,  
 (rsa,  
 ",cellular  (rsa )
sci,"(cmos,  
 (spacecraft,  
 (sticker,  
 (ultra,  
 (voltage,  
 ","(ultra,  
 ","(cmos,  
 (spacecraft,  
 (sticker,  
 (ultra,  
 (voltage,  
 ",ultra  (
sci,"(bone,  
 (cf,  
 (gordon,  
 (mono,  
 (patients,  
 (rgb,  
 ","(bone,  
 ","(bone,  
 (cf,  
 (gordon,  
 (mono,  
 (patients,  
 (rgb,  
 ",bone  (
sci,"(humor,  
 (lunar,  
 (spacecraft,  
 (virgin,  
 ","(lunar,  
 ","(humor,  
 (lunar,  
 (spacecraft,  
 (virgin,  
 ",lunar  (
soc,"(batf,  
 (canon,  
 (homosexuality,  
 (ide,  
 (johns,  
 (scripture,  
 ","(ide,  
 ","(batf,  
 (canon,  
 (homosexuality,  
 (ide,  
 (johns,  
 (scripture,  
 ",ide  (
talk,"(ati,  
 (batf,  
 (cherry,  
 (palestine,  
 (rsa,  
 (stealth,  
 ","(batf,  
 ","(ati,  
 (batf,  
 (cherry,  
 (palestine,  
 (rsa,  
 (stealth,  
 ",batf  (
