,ndcg
listinfo,0.967327376
robomod,0.967327376
mailing,0.922125261
noir,0.911637801
martial,0.910125375
gay,0.906270208
horror,0.906085708
prison,0.898197616
arts,0.895631144
musicals,0.893974354
mailman,0.893801103
hilarious,0.890734143
westerns,0.888290223
allens,0.888125112
jokes,0.888073658
romantic,0.886386715
animation,0.886088005
sherlock,0.88560032
western,0.883947576
songs,0.883805526
rec,0.88162333
internetreviews,0.880559398
comedies,0.880470064
war,0.880171869
workout,0.879786179
laughs,0.879664131
drug,0.876761305
sci,0.876409361
documentary,0.874877823
australian,0.874406579
mgm,0.874278171
berardinelli,0.872740674
students,0.871203684
thriller,0.868540909
allen,0.86712026
crawford,0.865738997
funniest,0.863844093
gags,0.863334812
adults,0.863196864
animated,0.86162507
woody,0.860791402
dancing,0.860614437
coach,0.859605079
net,0.859406098
teen,0.859328002
indians,0.858327843
catholic,0.85821427
zombies,0.857916312
elvis,0.857796308
soldiers,0.857647557
bogart,0.857515072
indie,0.857329861
zombie,0.856939246
suspense,0.856732892
creepy,0.856491978
nazis,0.856155565
italian,0.85507364
jews,0.854637316
spoof,0.854204884
singing,0.853907421
surfing,0.853473017
historical,0.853136621
teacher,0.852700343
robbery,0.85201352
dance,0.851807846
indian,0.851688286
slasher,0.851144156
christianity,0.850571663
musical,0.850502901
sexual,0.850360076
nazi,0.850214021
satire,0.849993903
nudity,0.849490637
town,0.849338212
gore,0.848865633
killer,0.847884589
british,0.847352444
installment,0.845924505
science,0.84584343
episodes,0.845806164
silicon,0.845459288
dracula,0.845155058
french,0.844917048
concert,0.8444407
chemistry,0.844234349
funnier,0.844094691
gangster,0.843002966
charming,0.842862522
vampire,0.842849149
hitchcock,0.842585273
spoofs,0.842534991
disney,0.842162758
patients,0.841459437
german,0.841429253
religious,0.84140064
japanese,0.841309836
religion,0.840978483
costumes,0.840696919
cop,0.840544558
vietnam,0.840131376
mob,0.839989761
santa,0.839895492
band,0.839874126
laughing,0.839579905
romance,0.839544649
apes,0.83941734
sports,0.839254186
bond,0.837803589
erotic,0.8376464
police,0.837629143
marriage,0.837554669
marx,0.836633211
heist,0.836444518
adaptation,0.836378946
festival,0.835962642
crime,0.835814868
communist,0.835032226
screwball,0.834263492
vhs,0.834115353
teachers,0.834024381
song,0.833589988
courtroom,0.833065086
animals,0.833046492
laughed,0.832932156
comedic,0.832799883
hitchcocks,0.832792041
christ,0.832591364
attorney,0.832493891
detective,0.832466464
