,all_tree,double_tree,all_tree_trimmed,double_tree_trimmed
alt,"['charlie ' 'genesis ' 'homosexuality ' 'objectively ' 'participated '
 'stacker ']",['participated '],['homosexuality '],[]
comp,['jurisdiction ' 'reset ' 'rgb ' 'tiff ' 'xlib '],['rgb ' 'xlib '],['tiff '],[]
comp,['525 ' 'ati ' 'espn ' 'stacker ' 'tons ' 'xlib ' 'xterm '],[],['xlib '],[]
comp,['cmos ' 'diamond ' 'ide ' 'jumpers ' 'motherboards ' 'obo '],['ide '],['motherboards '],[]
comp,['bombs ' 'centris ' 'motherboards ' 'quadra ' 'rsa ' 'stealth '],['centris '],['quadra '],[]
comp,['pipes ' 'r5 ' 'reset ' 'widget ' 'xlib ' 'xterm '],['xterm '],['xlib '],[]
misc,"['adobe ' 'alien ' 'cds '
 'duo bikers clinic corel midi blew digitized sank barbara runner powerbook flaming rebuilt amplifier bait sequences oral eisa kermit cabin smiley executing centered 305 poverty compartment mature extracted cartridge missions icons harley resolutions echo bye lightly grain '
 'obo ' 'width ']",['duo bikers clinic corel midi blew digitized sank barbara runner powerbook flaming rebuilt amplifier bait sequences oral eisa kermit cabin smiley executing centered 305 poverty compartment mature extracted cartridge missions icons harley resolutions echo bye lightly grain '],['obo '],[]
rec,['bikes ' 'helmet ' 'radar ' 'tickets ' 'toyota '],['bikes ' 'toyota '],['toyota '],[]
rec,['bikes ' 'dram ' 'helmet ' 'virgin '],['bikes '],['bikes '],[]
rec,['com ' 'espn ' 'hayes ' 'pitching '],['espn ' 'hayes '],['pitching '],[]
rec,"['envelope ' 'espn ' 'overlap '
 'playback transmissions parity dim coprocessor vitamin adb calcium bathroom duck progun 5v umpires autoexecbat trashed valentine mineral washer 12v wine transistor holiday instructor stove armenia uphold offset curves multitasking goverment cirrus stones compares 20mb cb ohm diagnostics prophecy pedal bolt 640x480 libertarians volt 2b advocated gentiles dots fulfill mathematics dietary pov ceremonial 80ns hebrews void receivers shack xor carb null kidney ver quack braking cups antenna protestants justifies rex battery serial willie elementary emacs rs ninja modem appletalk 144k violating rub bios scanned atoms dictate motorcycles drum orbit clipper linked pascal borrow tossing titan trim quran costing foods '
 'stanley ' 'tommy ']",['playback transmissions parity dim coprocessor vitamin adb calcium bathroom duck progun 5v umpires autoexecbat trashed valentine mineral washer 12v wine transistor holiday instructor stove armenia uphold offset curves multitasking goverment cirrus stones compares 20mb cb ohm diagnostics prophecy pedal bolt 640x480 libertarians volt 2b advocated gentiles dots fulfill mathematics dietary pov ceremonial 80ns hebrews void receivers shack xor carb null kidney ver quack braking cups antenna protestants justifies rex battery serial willie elementary emacs rs ninja modem appletalk 144k violating rub bios scanned atoms dictate motorcycles drum orbit clipper linked pascal borrow tossing titan trim quran costing foods '],['stanley '],[]
sci,['accelerator ' 'cellular ' 'pirates ' 'rsa '],['cellular ' 'rsa '],['rsa '],[]
sci,['cmos ' 'spacecraft ' 'sticker ' 'ultra ' 'voltage '],['ultra '],['voltage '],[]
sci,['bone ' 'cf ' 'gordon ' 'mono ' 'patients ' 'rgb '],['bone '],['patients '],[]
sci,['humor ' 'lunar ' 'spacecraft ' 'virgin '],['lunar '],['lunar '],[]
soc,['batf ' 'canon ' 'homosexuality ' 'ide ' 'johns ' 'scripture '],['ide '],['scripture '],[]
talk,['ati ' 'batf ' 'cherry ' 'palestine ' 'rsa ' 'stealth '],['batf '],['batf '],[]
talk,['kicks ' 'palestine ' 'palestinian ' 'slaves ' 'stanley ' 'turks '],['stanley '],['palestinian '],[]
talk,['cnn ' 'consumption ' 'homosexual ' 'hussein ' 'scripture ' 'vancouver '],['hussein '],['homosexual '],[]
talk,['2400 ' 'charlie ' 'cook ' 'hussein ' 'reset ' 'scripture '],['hussein '],['scripture '],[]
