,0
"southcoast (filters, reala)",0.968171253
"interchange (underpass, hk)",0.963106815
"canonrebel (army, nikond300s)",0.954037102
"statua (stern, 1st)",0.94506351
"municipal (citizen, farbe)",0.942144627
"madrid (noir, df)",0.9341415999999999
"reizen (seventies, canonef2470mmf28lusm)",0.93337179
"commuter (underpass, muni)",0.93055015
"crime (illegal, violence)",0.92377699
"leafs (iris, cyan)",0.9210050129999999
"architechture (arkitektur, neoclassical)",0.910243441
"winnipeg (twincities, cab)",0.909311045
"argentine (rojo, brouillard)",0.909111373
"brush (bushes, through)",0.903040035
"a (24, 15)",0.902742413
"cell (se, toilet)",0.9003610120000001
"destinations (sight, cloudless)",0.90033341
"diamondclassphotographer (flickrdiamond, platinumphoto)",0.8990562
"vaud (nz, franconia)",0.8986607259999999
"sidney (spencer, d100)",0.898415188
"hiker (hikers, mountaineering)",0.8971062540000001
"mid (ben, on)",0.8968531209999999
"dell (laptop, talk)",0.894845007
"memories (homer, casio)",0.894560398
"level (never, pb)",0.893564963
"lajolla (g11, photowalk)",0.892461295
"sadness (heart, hope)",0.89237123
"frankreich (francia, nov)",0.8911797490000001
"midland (ir, mb)",0.8901378809999999
"converse (instant, ae1)",0.890010167
"defence (defense, 5)",0.888436615
"coloradosprings (huntsville, burbank)",0.8882803779999999
"1992 (corvette, 1966)",0.888184847
"homes (residential, apartment)",0.887659931
"rapid (dart, 93)",0.885717199
"blinkagain (platinumheartaward, 1260mm)",0.8850747990000001
"desolate (postcard, loneliness)",0.884771325
"mud (gravel, story)",0.8839377759999999
"cancer (carrera, os)",0.883882505
"montmartre (cobblestones, capitale)",0.883723525
"cannon (kite, flickrlovers)",0.882853022
"buddhist (buddhism, wat)",0.8818568390000001
"trash (garbage, bin)",0.8816466009999999
"highlandpark (flint, lausanne)",0.879166094
"abandonedbuilding (abandonned, dilapidated)",0.878569598
"soe (theunforgettablepictures, colorphotoaward)",0.875043687
"yard (generator, angeles)",0.873684762
"groningen (sverige, schatten)",0.873569501
"feature (royalty, alhambra)",0.873541428
"em5 (omd, southkorea)",0.8727946459999999
"engagement (iris, petals)",0.8725126609999999
"hp (z, audi)",0.872052412
"scaffold (scaffolding, lowlight)",0.87185286
"claire (uncle, ashley)",0.870727282
"80 (40, 70)",0.8679195670000001
"built (century, edifice)",0.8677547320000001
"here (remember, please)",0.867422103
"bakery (farmers, pie)",0.86527932
"frozen (icy, seasons)",0.865215065
"dresden (sachsen, muenchen)",0.864519752
"priest (spiritual, orthodox)",0.864235072
"palestine (goa, bullet)",0.86276648
"condemned (tv, decaying)",0.862019043
"5dmk2 (thebestofday, platinumheartaward)",0.860982026
"brandon (martin, jimmy)",0.8599418870000001
"arquitetura (edifici, edificios)",0.858224985
"weatherbug (airme, crossprocessed)",0.85792602
"dyke (vertorama, reed)",0.857130829
"fz38 (magical, k100d)",0.856489885
"westernaustralia (southaustralia, canon400d)",0.855284432
"collingwood (vincent, carl)",0.855011541
"lonesome (colline, aussicht)",0.854510523
"6th (10th, parker)",0.8516423340000001
"duna (thisphotorocks, coucherdesoleil)",0.85151556
